Technical_Feature,Friendly_Feature,XGBoost_BuiltIn_Importance,Mean_Absolute_SHAP_Importance
person_income,person_income,0.05162699,0.81015724
loan_percent_income,loan_percent_income,0.09899387,0.5720667
person_home_ownership_RENT,person_home_ownership_RENT,0.14505397,0.32857472
loan_amnt,loan_amnt,0.026850227,0.3118767
cb_person_default_on_file_N,cb_person_default_on_file_N,0.07881631,0.26674783
person_home_ownership_OWN,person_home_ownership_OWN,0.107462786,0.24937324
loan_intent_VENTURE,loan_intent_VENTURE,0.04732052,0.20119093
person_emp_length,person_emp_length,0.013217616,0.14200553
person_home_ownership_MORTGAGE,person_home_ownership_MORTGAGE,0.08304942,0.13993236
loan_intent_DEBTCONSOLIDATION,loan_intent_DEBTCONSOLIDATION,0.030210126,0.13147849
loan_intent_HOMEIMPROVEMENT,loan_intent_HOMEIMPROVEMENT,0.048781116,0.11584867
cb_person_default_on_file_Y,cb_person_default_on_file_Y,0.17209707,0.10212057
loan_intent_MEDICAL,loan_intent_MEDICAL,0.028479585,0.094767205
loan_intent_EDUCATION,loan_intent_EDUCATION,0.022376567,0.08330916
person_age,person_age,0.01371664,0.07919425
cb_person_cred_hist_length,cb_person_cred_hist_length,0.008840262,0.045609344
loan_intent_PERSONAL,loan_intent_PERSONAL,0.014755669,0.02710113
person_home_ownership_OTHER,person_home_ownership_OTHER,0.008351306,0.0009891806
